chart,parameter,value,scenario,schedulability,qos,samples,conditions,gen_failures,alloc_failures,map_failures,deadline_misses,unplaced_nodes,offloaded,heavy_tasks,critical_path_ratio,comm_ratio
"Schedulability vs normalized utilization",u_norm,0.1,"local, spin (MSRP)",0.9000,0.9100,100,"",0,0,0,36,0,0.0000,0.00,0.0725,0.0497
"Schedulability vs normalized utilization",u_norm,0.3,"local, spin (MSRP)",0.0000,0.1050,100,"",0,9,11,322,497,0.0000,0.72,0.1944,0.1358
"Schedulability vs normalized utilization",u_norm,0.5,"local, spin (MSRP)",0.0000,0.0025,100,"",0,93,98,27,5156,0.0000,0.08,0.0224,0.0172
"Schedulability vs normalized utilization",u_norm,0.7,"local, spin (MSRP)",0.0000,0.0000,98,"",2,98,98,0,5408,0.0000,0.00,0.0000,0.0000
"Schedulability vs normalized utilization",u_norm,1.0,"local, spin (MSRP)",0.0000,0.0000,89,"",11,89,89,0,4896,0.0000,0.00,0.0000,0.0000
"Schedulability vs normalized utilization",u_norm,0.1,"local, suspension (POMIP)",0.9700,0.9900,100,"",0,0,0,4,0,0.0000,0.00,0.0725,0.0497
"Schedulability vs normalized utilization",u_norm,0.3,"local, suspension (POMIP)",0.0000,0.0525,100,"",0,70,72,99,3881,0.0000,0.10,0.0638,0.0445
"Schedulability vs normalized utilization",u_norm,0.5,"local, suspension (POMIP)",0.0000,0.0000,100,"",0,100,100,0,5529,0.0000,0.00,0.0000,0.0000
"Schedulability vs normalized utilization",u_norm,0.7,"local, suspension (POMIP)",0.0000,0.0000,98,"",2,98,98,0,5408,0.0000,0.00,0.0000,0.0000
"Schedulability vs normalized utilization",u_norm,1.0,"local, suspension (POMIP)",0.0000,0.0000,89,"",11,89,89,0,4896,0.0000,0.00,0.0000,0.0000
"Schedulability vs normalized utilization",u_norm,0.1,"local, hybrid (H2LP)",0.9000,0.9100,100,"",0,0,0,36,0,0.0000,0.00,0.0725,0.0497
"Schedulability vs normalized utilization",u_norm,0.3,"local, hybrid (H2LP)",0.0000,0.0650,100,"",0,49,54,178,2725,0.0000,0.31,0.1083,0.0757
"Schedulability vs normalized utilization",u_norm,0.5,"local, hybrid (H2LP)",0.0000,0.0000,100,"",0,100,100,0,5529,0.0000,0.00,0.0000,0.0000
"Schedulability vs normalized utilization",u_norm,0.7,"local, hybrid (H2LP)",0.0000,0.0000,98,"",2,98,98,0,5408,0.0000,0.00,0.0000,0.0000
"Schedulability vs normalized utilization",u_norm,1.0,"local, hybrid (H2LP)",0.0000,0.0000,89,"",11,89,89,0,4896,0.0000,0.00,0.0000,0.0000
"Schedulability vs normalized utilization",u_norm,0.1,"edge, spin (MSRP)",0.9000,0.9125,100,"",0,0,0,35,0,0.0080,0.00,0.0725,0.0497
"Schedulability vs normalized utilization",u_norm,0.3,"edge, spin (MSRP)",0.1400,0.3400,100,"",0,0,0,264,0,0.2108,0.83,0.2176,0.1492
"Schedulability vs normalized utilization",u_norm,0.5,"edge, spin (MSRP)",0.0000,0.1700,100,"",0,1,1,328,52,0.4021,1.61,0.3392,0.2469
"Schedulability vs normalized utilization",u_norm,0.7,"edge, spin (MSRP)",0.0000,0.0332,98,"",2,41,46,215,2217,0.2726,1.18,0.2449,0.2037
"Schedulability vs normalized utilization",u_norm,1.0,"edge, spin (MSRP)",0.0000,0.0000,89,"",11,84,86,20,4612,0.0215,0.11,0.0272,0.0277
"Schedulability vs normalized utilization",u_norm,0.1,"edge, suspension (POMIP)",0.9700,0.9900,100,"",0,0,0,4,0,0.0080,0.00,0.0725,0.0497
"Schedulability vs normalized utilization",u_norm,0.3,"edge, suspension (POMIP)",0.0300,0.1800,100,"",0,52,52,120,2859,0.0739,0.28,0.1041,0.0713
"Schedulability vs normalized utilization",u_norm,0.5,"edge, suspension (POMIP)",0.0000,0.0050,100,"",0,98,98,6,5413,0.0056,0.02,0.0064,0.0052
"Schedulability vs normalized utilization",u_norm,0.7,"edge, suspension (POMIP)",0.0000,0.0000,98,"",2,98,98,0,5408,0.0000,0.00,0.0000,0.0000
"Schedulability vs normalized utilization",u_norm,1.0,"edge, suspension (POMIP)",0.0000,0.0000,89,"",11,89,89,0,4896,0.0000,0.00,0.0000,0.0000
"Schedulability vs normalized utilization",u_norm,0.1,"edge, hybrid (H2LP)",0.9000,0.9125,100,"",0,0,0,35,0,0.0080,0.00,0.0725,0.0497
"Schedulability vs normalized utilization",u_norm,0.3,"edge, hybrid (H2LP)",0.3200,0.4625,100,"",0,4,4,199,202,0.2002,0.79,0.2064,0.1432
"Schedulability vs normalized utilization",u_norm,0.5,"edge, hybrid (H2LP)",0.0900,0.2575,100,"",0,45,45,117,2428,0.2169,0.88,0.1848,0.1370
"Schedulability vs normalized utilization",u_norm,0.7,"edge, hybrid (H2LP)",0.0000,0.0255,98,"",2,86,86,38,4733,0.0461,0.21,0.0506,0.0425
"Schedulability vs normalized utilization",u_norm,1.0,"edge, hybrid (H2LP)",0.0000,0.0000,89,"",11,89,89,0,4896,0.0000,0.00,0.0000,0.0000
"Schedulability vs requests per resource",accesses_per_resource,10,"local, spin (MSRP)",0.6900,0.6975,100,"",0,0,0,121,0,0.0000,0.02,0.1088,0.0746
"Schedulability vs requests per resource",accesses_per_resource,30,"local, spin (MSRP)",0.5600,0.5925,100,"",0,0,0,163,0,0.0000,0.02,0.1088,0.0746
"Schedulability vs requests per resource",accesses_per_resource,50,"local, spin (MSRP)",0.1500,0.1675,100,"",0,0,0,333,0,0.0000,0.02,0.1088,0.0746
"Schedulability vs requests per resource",accesses_per_resource,80,"local, spin (MSRP)",0.0000,0.0100,100,"",0,0,0,396,0,0.0000,0.02,0.1088,0.0746
"Schedulability vs requests per resource",accesses_per_resource,150,"local, spin (MSRP)",0.0000,0.0025,100,"",0,0,0,399,0,0.0000,0.02,0.1088,0.0746
"Schedulability vs requests per resource",accesses_per_resource,10,"local, suspension (POMIP)",0.8600,0.8675,100,"",0,0,0,53,0,0.0000,0.02,0.1088,0.0746
"Schedulability vs requests per resource",accesses_per_resource,30,"local, suspension (POMIP)",0.5400,0.8550,100,"",0,0,0,58,0,0.0000,0.02,0.1088,0.0746
"Schedulability vs requests per resource",accesses_per_resource,50,"local, suspension (POMIP)",0.1800,0.6075,100,"",0,2,2,149,115,0.0000,0.00,0.1070,0.0731
"Schedulability vs requests per resource",accesses_per_resource,80,"local, suspension (POMIP)",0.0100,0.3225,100,"",0,1,1,267,60,0.0000,0.01,0.1078,0.0738
"Schedulability vs requests per resource",accesses_per_resource,150,"local, suspension (POMIP)",0.0000,0.1000,100,"",0,2,2,352,115,0.0000,0.00,0.1070,0.0731
"Schedulability vs requests per resource",accesses_per_resource,10,"local, hybrid (H2LP)",0.6900,0.6975,100,"",0,0,0,121,0,0.0000,0.02,0.1088,0.0746
"Schedulability vs requests per resource",accesses_per_resource,30,"local, hybrid (H2LP)",0.5600,0.5925,100,"",0,0,0,163,0,0.0000,0.02,0.1088,0.0746
"Schedulability vs requests per resource",accesses_per_resource,50,"local, hybrid (H2LP)",0.1400,0.1550,100,"",0,2,2,330,115,0.0000,0.00,0.1070,0.0731
"Schedulability vs requests per resource",accesses_per_resource,80,"local, hybrid (H2LP)",0.0000,0.0050,100,"",0,2,2,390,115,0.0000,0.00,0.1070,0.0731
"Schedulability vs requests per resource",accesses_per_resource,150,"local, hybrid (H2LP)",0.0000,0.0000,100,"",0,2,2,392,115,0.0000,0.00,0.1070,0.0731
